,UHF42,Natural Gas Use (kBtu),Total GHG Emissions (Metric Tons CO2e),number of restaurants,parks superficy,poverty,traffic volume,Borough,PM2.5 Attributable Deaths,O3 Attributable Deaths,O3 Particles Concentration,PM2.5 Particles Concentration,O3 Asthma Emergency Department Visits,O3 Attributable Hospitalizations,PM2.5 Asthma Emergency Department Visits,PM2.5 Attributable Hospitalizations
0,101.0,56863648.30524193,3256.3208178438663,1252,510.7495,16.2,104.6252285700152,Bronx,63.0,8.3,29.570000000000004,8.026666666666667,57.85,9.55,45.8,16.5
1,102.0,8300407.041111111,882.6322222222221,2580,2073.038095238095,14.8,104.81221181314584,Bronx,47.3,6.2,30.71666666666667,8.046666666666667,104.95,19.95,78.5,16.95
2,103.0,4003514.514878049,578.7340611353712,3609,831.4058333333334,27.7,96.39674683181818,Bronx,41.4,4.0,30.21666666666667,8.076666666666666,136.65,24.55,108.85,20.299999999999997
3,104.0,12971780.35936073,1244.67125,4238,2193.195297619048,20.3,102.80789252293202,Bronx,42.8,4.8,31.610000000000003,7.983333333333333,95.75,17.85,74.9,17.55
4,105.0,5162493.849324325,625.5396166134185,2014,431.5314166666667,33.6,91.6135955959709,Bronx,38.4,3.4,29.92,8.67,155.8,21.15,127.14999999999999,22.35
5,106.0,6319824.425825826,650.2613636363636,2517,232.7472857142857,35.8,75.9946115553564,Bronx,43.0,3.9,29.99666666666667,8.639999999999999,172.85000000000002,25.7,143.35,24.65
6,107.0,5462430.708333333,497.035,2492,145.922,36.3,86.78547985332216,Bronx,45.4,3.6,31.546666666666667,8.713333333333333,177.55,27.450000000000003,149.64999999999998,25.4
7,201.0,739284028.083871,37093.68333333333,4792,135.207,17.1,77.87785297698646,Brooklyn,29.9,3.1,30.97,9.643333333333334,32.05,2.9,23.65,11.25
8,202.0,8219237.497348485,870.8544520547945,10918,773.6236666666666,13.7,80.95212499547965,Brooklyn,26.5,3.2,29.886666666666667,9.033333333333333,48.45,7.4,35.25,11.1
9,203.0,7006118.222631578,608.8980487804878,6420,248.4161333333333,21.6,75.36731157238168,Brooklyn,41.8,4.9,31.183333333333334,8.113333333333333,137.05,19.65,96.35,17.35
10,204.0,7869762.932653061,672.154716981132,2421,259.6016666666667,24.3,100.89035934407916,Brooklyn,37.1,4.1,32.580000000000005,8.013333333333334,135.7,19.7,94.9,18.0
11,205.0,9598442.790909093,922.2446428571428,4520,97.485,20.8,80.24652205587788,Brooklyn,28.0,3.1,31.276666666666667,8.646666666666667,37.15,4.6,26.5,9.9
12,206.0,6146840.876966292,577.2032697547684,4686,98.456,21.8,70.20881017709995,Brooklyn,39.2,4.8,31.8,7.72,18.35,2.3,12.55,12.450000000000001
13,207.0,6689590.25824468,777.0335051546392,5480,85.3452,13.3,74.1892485705668,Brooklyn,36.2,4.8,31.996666666666666,7.863333333333333,91.05,15.700000000000001,63.05,14.0
14,208.0,5658494.763043478,566.68125,2774,789.372,11.6,73.48248233219311,Brooklyn,40.0,6.0,34.31333333333334,7.413333333333333,68.7,11.35,46.4,15.100000000000001
15,209.0,6764238.555232558,517.0049180327868,5032,426.237,14.4,76.65898238767831,Brooklyn,40.5,6.3,32.376666666666665,7.433333333333334,19.35,3.05,12.65,11.55
16,210.0,10316720.307932012,738.2101648351648,4809,1190.542333333333,18.7,62.72364823663656,Brooklyn,53.1,8.5,34.163333333333334,7.099999999999999,36.95,4.75,24.799999999999997,17.35
17,211.0,9304654.1625,1971.3881188118808,4424,51.6,27.1,47.901626564337626,Brooklyn,34.7,3.7,31.14,8.833333333333334,121.0,12.55,87.6,16.0
18,301.0,5354081.928791208,752.4243346007605,4617,663.1161428571429,18.4,75.34166785108087,Manhattan,33.2,3.3,29.263333333333335,8.319999999999999,71.2,11.65,57.25,13.700000000000001
19,302.0,7760516.044549763,1080.8170940170942,2382,156.9335714285714,23.9,85.02250487998602,Manhattan,45.4,4.4,28.94666666666667,8.413333333333332,175.0,22.650000000000002,144.1,17.55
20,303.0,18354098.4,1900.7145631067965,2376,482.60442857142857,31.9,132.4559000379394,Manhattan,54.2,5.2,29.37,8.603333333333333,201.9,23.0,163.55,22.9
21,304.0,5359005.970068027,3109.6201149425287,5192,1175.3515,11.0,135.03554169200876,Manhattan,40.5,4.6,28.076666666666664,8.866666666666667,45.6,4.05,37.55,10.4
22,305.0,5410452.870888889,5843.193001841621,3895,63.63715217428572,6.8,184.7456151949493,Manhattan,35.4,3.8,27.826666666666668,9.373333333333333,16.6,3.15,12.600000000000001,8.85
