,RequestID,Boro,Yr,SegmentID,WktGeom,street,fromSt,toSt,Direction,Vol
0,1100,Staten Island,2011,103882,POINT (963246 173171.4),BAY ST,RICHMOND TERR,STUYVESANT PL,SB,88.45809523809524
1,1101,Staten Island,2011,108460,POINT (941545.3 161103.1),VICTORY BLVD,CHRISTOPHER LA,LOOP RD,EB,160.577057793345
2,1102,Staten Island,2011,108460,POINT (941545.3 161103.1),VICTORY BLVD LT,CHRISTOPHER LA,LOOP RD,EB,103.24430823117338
3,1103,Staten Island,2011,110580,POINT (940825.4 160915.4),VICTORY BLVD,MORANI ST,CHRISTOPHER LA,EB,193.68701550387595
4,1104,Staten Island,2011,110580,POINT (940825.4 160915.4),VICTORY BLVD,CHRISTOPHER LA,MORANI ST,WB,190.22434782608696
5,1105,Manhattan,2011,111161,POINT (990090.5 218746.6),CENTRAL PK EXT,CENTRAL PK,CPS / W 59 ST / 7 AVE,SB,14.297397769516728
6,1106,Staten Island,2011,112365,POINT (950229.1 162834.4),MANOR RD,DONGAN AV,VICTORY BLVD,SB,65.9766081871345
7,1107,Staten Island,2011,112365,POINT (950229.1 162834.4),MANOR RD,DONGAN AV,VICTORY BLVD,SB,83.0327868852459
8,1108,Staten Island,2011,112365,POINT (950229.1 162834.4),MONOR RD,DONGAN AV,VICTORY BLVD,SB,68.35324675324675
9,1109,Manhattan,2011,115236,POINT (987248.5 209892.8),BROADWAY,W 25 ST,5 AV,SB,44.33275109170306
10,1110,Manhattan,2011,115270,POINT (993225 220772.3),TERRACE DR EXT TO E 72 ST,CENTRAL PK,5 AVE,EB,29.545582047685834
11,1111,Manhattan,2011,115270,POINT (993225 220772.3),TERRACE DR ENT FROM E 72 ST,5 AV,CENTRAL PK,WB,13.102456140350878
12,1112,Staten Island,2011,118532,POINT (959491.2 168842.7),VICTORY BLVD,EDDY ST,FOREST AV,EB,58.94900849858357
13,1113,Staten Island,2011,12381,POINT (950249.9 162569.1),MANOR RD,JOSEPHINE ST,VICTORY BLVD,NB,52.910189982728845
14,1114,Staten Island,2011,12508,POINT (951795.9 162572.3),SLOSSON AV,WINDSOR RD,VICTORY BLVD,NB,67.02286719437116
15,1115,Staten Island,2011,12518,POINT (951802 162950.7),SLOSSON AV,ELLSWORTH PL,VICTORY BLVD,SB,57.01493848857645
16,1116,Staten Island,2011,12620,POINT (952421.7 162885.3),VICTORY BLVD,BRENTON PL,ROYAL OAK RD,EB,83.55321020228672
17,1117,Staten Island,2011,12620,POINT (952421.7 162885.3),VICTORY BLVD,ROYAL OAK RD,BRENTON PL,WB,112.43838028169014
18,1118,Staten Island,2011,12974,POINT (955579.7 163754.3),CLOVE RD,GLENWOOD AV,VICTORY BLVD,NB,126.85198237885463
19,1119,Staten Island,2011,12986,POINT (955363.8 164088.2),CLOVE RD,BEVERLY AV,VICTORY BLVD,SB,122.80599647266314
20,1120,Staten Island,2011,13483,POINT (959471.3 168977.1),FOREST AV,OXFORD PL,VICTORY BLVD,SB,49.15217391304348
21,1121,Staten Island,2011,13496,POINT (959701.9 169053.5),VICTORY BLVD,FOREST AV,LOUIS ST,EB,77.43803216650899
22,1122,Staten Island,2011,13498,POINT (959866.4 169311.6),VICTORY BLVD,WOODSTOCK AV,LOUIS ST,WB,78.4825327510917
23,1123,Staten Island,2011,13498,POINT (959866.4 169311.6),VICTORY BLVD,WOODSTOCK AV,LOUIS ST,WB,74.45804195804196
24,1124,Brooklyn,2011,15757,POINT (964337.5 160594.3),BQE EXT,OLD FULTON ST,OLD FULTON ST,SB,74.69001148105626
25,1125,Staten Island,2011,16160,POINT (960256.3 169942.7),VICTORY BLVD,AUSTIN PL,CEBRA AV,EB,70.23863636363636
26,1126,Staten Island,2011,16160,POINT (960256.3 169942.7),VICTORY BLVD,CEBRA AV,AUSTIN PL,WB,72.75806451612904
27,1127,Staten Island,2011,16168,POINT (960632.3 170519),VICTORY BLVD,JERSEY ST,CEBRA AV,WB,70.80681818181819
28,1128,Staten Island,2011,16261,POINT (961380.2 171117.1),VICTORY BLVD,PIKE ST,FIEDLER AV,EB,63.321631878557874
29,1129,Staten Island,2011,16277,POINT (961723.1 171352.7),VICTORY BLVD,FREMONT ST,FIEDLER AV,WB,32.48436018957346
30,1130,Staten Island,2011,16277,POINT (961723.1 171352.7),VICTORY BLVD,FREMONT ST,FIEDLER AV,WB,38.671457905544145
31,1131,Staten Island,2011,16353,POINT (962138.4 171652.1),VICTORY BLVD,BROOK ST,MONROE ST,EB,66.3719165085389
32,1132,Staten Island,2011,16353,POINT (962138.4 171652.1),VICTORY BLVD,CORSON AV,BROOK ST,WB,58.80114722753346
33,1133,Staten Island,2011,16361,POINT (962757 171706.5),VICTORY BLVD,MONTGOMERY AV,ST. MARKS PL,EB,51.883190883190885
34,1134,Staten Island,2011,16422,POINT (963038 171634.9),VICTORY BLVD,BAY ST,ST. MARKS PL,WB,32.995316159250585
35,1135,Staten Island,2011,16422,POINT (963038 171634.9),VICTORY BLVD,BAY ST,ST. MARKS PL,WB,41.92156862745098
36,1136,Staten Island,2011,16452,POINT (963731.4 173301.1),ENT ST. GEORGE TERMINAL,RICHMOND TERR,ST. GEORGE TERMINAL,EB,18.708571428571428
37,1137,Brooklyn,2011,19260,POINT (989087.4 151526.4),STILLWELL AV BR,NEPTUNE AV,BELT PKWY,NB,28.747598924318094
38,1138,Brooklyn,2011,19260,POINT (989087.4 151526.4),STILLWELL AV BR,BELT PKWY,NEPTUNE AV,SB,30.55969289827255
39,1139,Brooklyn,2011,22159,POINT (984246.4 185334.9),W 9 ST,COURT ST,HAMILTON ST,WB,48.079787234042556
40,1140,Brooklyn,2011,22166,POINT (984387 185152.5),COURT ST,W 9 ST,GARNET ST,SB,99.30913978494624
41,1141,Manhattan,2011,23794,POINT (985312.3 199456.6),DIVISION ST,MARKET ST,BOWERY,WB,118.84448305821026
42,1142,Brooklyn,2011,23915,POINT (985673.4 195303.9),FURMAN ST,OLD FULTON ST,DOUGHTY ST,SB,67.0046674445741
43,1143,Brooklyn,2011,23922,POINT (985915.4 195307.1),OLD FULTON ST,ELIZABETH ST,FRONT ST,WB,58.561627906976746
44,1144,Brooklyn,2011,24078,POINT (986684 195235.5),FRONT ST,YORK ST,MAIN ST,EB,47.0452380952381
45,1145,Brooklyn,2011,24078,POINT (986684 195235.5),FRONT ST,DOCK ST,YORK ST,EB,31.045401629802097
46,1146,Brooklyn,2011,24079,POINT (986687.5 195049.5),YORK ST,WASHINGTON ST,FRONT ST,NB,52.52142857142857
47,1147,Brooklyn,2011,24084,POINT (986834.8 195408.1),MAIN ST,FRONT ST,WATER ST,NB,15.346915017462166
48,1148,Brooklyn,2011,24388,POINT (988580.8 190547.8),DUFFIELD ST,FULTON ST,WILLOUGHBY ST,NB,10.735694822888284
49,1149,Brooklyn,2011,24388,POINT (988580.8 190547.8),DUFFIELD ST,FULTON ST,WILLOUGHBY ST,NB,10.410179640718562
50,1150,Brooklyn,2011,24388,POINT (988580.8 190547.8),ELM PL,LIVINGSTON ST,FULTON ST,NB,17.973684210526315
51,1151,Brooklyn,2011,24388,POINT (988580.8 190547.8),ELM ST,LIVINGSTON ST,FULTON ST,NB,16.346938775510203
52,1152,Brooklyn,2011,24395,POINT (988891.2 190386.6),BOND ST,FULTON ST,LIVINGSTON ST,SB,19.310385064177364
53,1153,Brooklyn,2011,24560,POINT (989170.6 190344.5),HANOVER PL,LIVINGSTON ST,FULTON ST,NB,14.04088785046729
